group_size,n_neighbors,MAE,RMSE,R2
1,1,0.263158,0.533114,0.998007
1,2,0.334211,0.521889,0.998144
1,3,0.408772,0.538028,0.997994
1,4,0.463158,0.620908,0.997341
1,5,0.528421,0.689470,0.996735
1,6,0.573684,0.783790,0.995802
1,7,0.622556,0.847946,0.995109
1,8,0.667763,0.908250,0.994383
1,9,0.687135,0.950873,0.993859
1,10,0.727368,0.987234,0.993331
1,11,0.794258,1.070828,0.992133
1,12,0.853509,1.133230,0.991163
1,13,0.893117,1.175850,0.990491
1,14,0.927820,1.207122,0.989946
1,15,0.996140,1.287029,0.988552
1,16,1.054605,1.346765,0.987451
1,17,1.091950,1.387728,0.986651
1,18,1.135380,1.433194,0.985773
1,19,1.201662,1.509188,0.984207
1,20,1.253947,1.582723,0.982612
2,1,0.441184,0.643643,0.996781
2,2,0.392237,0.544228,0.997720
2,3,0.382851,0.549847,0.997680
2,4,0.450395,0.606462,0.997153
2,5,0.504526,0.671228,0.996541
2,6,0.528268,0.722598,0.996028
2,7,0.566071,0.763065,0.995540
2,8,0.633750,0.844047,0.994574
2,9,0.677281,0.918128,0.993605
2,10,0.703118,0.963852,0.992908
2,11,0.743445,1.000345,0.992367
2,12,0.795208,1.078696,0.991085
2,13,0.817237,1.099322,0.990766
2,14,0.860921,1.141908,0.990034
2,15,0.925272,1.198087,0.988972
2,16,0.988684,1.269697,0.987600
2,17,1.037260,1.339186,0.986187
2,18,1.104101,1.411459,0.984607
2,19,1.171960,1.481605,0.982980
2,20,1.218882,1.546609,0.981440
3,1,0.443158,0.729736,0.996027
3,2,0.457456,0.596444,0.997269
3,3,0.481842,0.647023,0.996844
3,4,0.519671,0.661920,0.996685
3,5,0.582298,0.748001,0.995778
3,6,0.602836,0.791058,0.995274
3,7,0.622343,0.812545,0.994971
3,8,0.653936,0.857231,0.994448
3,9,0.720955,0.934803,0.993418
3,10,0.756640,0.979225,0.992774
3,11,0.804944,1.044988,0.991765
3,12,0.869678,1.110333,0.990732
3,13,0.931329,1.173204,0.989642
3,14,0.986065,1.234440,0.988524
3,15,1.028620,1.283008,0.987631
3,16,1.084868,1.338943,0.986598
3,17,1.140129,1.398857,0.985397
3,18,1.187256,1.448911,0.984304
3,19,1.246847,1.523044,0.982604
3,20,1.294684,1.577017,0.981349
4,1,0.435526,0.722409,0.995954
4,2,0.460493,0.613791,0.997063
4,3,0.520154,0.647853,0.996667
4,4,0.526957,0.655169,0.996605
4,5,0.577487,0.726205,0.995862
4,6,0.597906,0.756898,0.995540
4,7,0.660836,0.831824,0.994619
4,8,0.722294,0.901099,0.993711
4,9,0.748428,0.964734,0.992778
4,10,0.802401,1.031358,0.991722
4,11,0.865156,1.105614,0.990453
4,12,0.898690,1.139791,0.989782
4,13,0.946179,1.202936,0.988608
4,14,0.981029,1.250675,0.987705
4,15,1.024101,1.285500,0.986994
4,16,1.098026,1.355042,0.985543
4,17,1.130724,1.393068,0.984684
4,18,1.161020,1.445099,0.983500
4,19,1.220135,1.508008,0.982047
4,20,1.263970,1.561967,0.980737
5,1,0.263158,0.533114,0.998007
5,2,0.334211,0.521889,0.998144
5,3,0.408772,0.538028,0.997994
5,4,0.463158,0.620908,0.997341
5,5,0.528421,0.689470,0.996735
5,6,0.573684,0.783790,0.995802
5,7,0.622556,0.847946,0.995109
5,8,0.667763,0.908250,0.994383
5,9,0.687135,0.950873,0.993859
5,10,0.727368,0.987234,0.993331
5,11,0.794258,1.070828,0.992133
5,12,0.853509,1.133230,0.991163
5,13,0.893117,1.175850,0.990491
5,14,0.927820,1.207122,0.989946
5,15,0.996140,1.287029,0.988552
5,16,1.054605,1.346765,0.987451
5,17,1.091950,1.387728,0.986651
5,18,1.135380,1.433194,0.985773
5,19,1.201662,1.509188,0.984207
5,20,1.253947,1.582723,0.982612
